ANO,DEPARTAMENTO,POBLACION_5_16,TASA_MATRICULACION_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICION,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,DESERCION,DESERCION_TRANSICION,DESERCION_PRIMARIA,DESERCION_SECUNDARIA,DESERCION_MEDIA,APROBACION,APROBACION_TRANSICION,APROBACION_PRIMARIA,APROBACION_SECUNDARIA,APROBACION_MEDIA,REPROBACION,REPROBACION_TRANSICION,REPROBACION_PRIMARIA,REPROBACION_SECUNDARIA,REPROBACION_MEDIA,REPITENCIA,REPITENCIA_TRANSICION,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA,GRUPO_COBERTURA_PIMARIA,GRUPO_COBERTURA_SECUNDARIA,GRUPO_COBERTURA_MEDIA,GRUPO_DESERCION_PRIMARIA,GRUPO_DESERCION_SECUNDARIA,GRUPO_DESERCION_MEDIA,GRUPO_REPROBACION_PRIMARIA,GRUPO_REPROBACION_SECUNDARIA,GRUPO_REPROBACION_MEDIA,GRUPO_APROBACION_PRIMARIA,GRUPO_APROBACION_SECUNDARIA,GRUPO_APROBACION_MEDIA
2015,CUNDINAMARCA,576429,90.72,90.47,55.93,86.83,80.91,50.5,3.27,3.52,2.24,4.62,2.86,93.2,96.05,95.57,89.58,93.84,3.52,0.43,2.19,5.8,3.3,2.14,0.48,1.67,3.26,1.44,"(84.98, 91.19]","(76.16, 90.11]","(44.75, 59.33]","(0.399, 2.32]","(3.6, 4.73]","(2.5, 3.24]","(1.42, 3.44]","(2.54, 6.72]","(2.23, 4.4]","(95.44, 99.06]","(88.48, 92.86]","(92.34, 94.78]"
2015,CHOCO,145625,80.48,80.48,51.99,82.2,47.3,20.35,4.78,4.27,4.36,6.31,3.02,88.35,95.39,87.49,86.28,94.07,6.87,0.34,8.15,7.41,2.91,0.29,0.24,0.3,0.34,0.12,"(76.77, 84.98]","(24.058999999999997, 57.46]","(6.789, 29.04]","(4.07, 10.73]","(4.73, 6.39]","(2.5, 3.24]","(5.62, 22.76]","(6.72, 9.89]","(2.23, 4.4]","(70.719, 91.13]","(84.42, 88.48]","(92.34, 94.78]"
2015,HUILA,269323,87.64,87.58,58.0,87.77,74.81,40.15,5.17,4.49,3.52,7.75,4.66,87.04,95.16,90.64,80.16,87.67,7.79,0.34,5.84,12.09,7.67,1.09,0.19,0.8,1.78,0.87,"(84.98, 91.19]","(71.45, 76.16]","(39.63, 44.75]","(3.14, 4.07]","(6.39, 12.15]","(4.3, 14.24]","(5.62, 22.76]","(9.89, 23.19]","(5.81, 16.07]","(70.719, 91.13]","(65.649, 84.42]","(76.31899999999999, 90.37]"
2015,LA GUAJIRA,258207,74.12,74.08,47.17,71.58,44.62,19.8,2.29,1.96,1.96,3.25,1.91,95.83,97.64,96.11,94.22,96.79,1.88,0.4,1.93,2.52,1.3,1.42,1.7,1.29,1.84,0.64,"(51.119, 76.77]","(24.058999999999997, 57.46]","(6.789, 29.04]","(0.399, 2.32]","(0.589, 3.6]","(0.419, 2.5]","(1.42, 3.44]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2015,MAGDALENA,330539,93.61,93.43,64.05,87.3,69.06,35.65,3.54,3.07,3.54,3.93,2.82,93.68,95.65,93.88,92.35,94.86,2.78,1.28,2.58,3.72,2.32,1.07,0.92,1.0,1.4,0.46,"(84.98, 91.19]","(57.46, 71.45]","(29.04, 39.63]","(3.14, 4.07]","(3.6, 4.73]","(2.5, 3.24]","(1.42, 3.44]","(2.54, 6.72]","(2.23, 4.4]","(92.98, 95.44]","(88.48, 92.86]","(94.78, 99.49]"
2015,META,217437,92.19,92.14,59.32,90.32,76.35,42.26,3.3,3.39,2.68,4.35,2.57,92.08,96.51,94.23,87.71,93.46,4.62,0.1,3.09,7.94,3.97,1.1,0.08,0.78,1.94,0.55,"(84.98, 91.19]","(76.16, 90.11]","(39.63, 44.75]","(2.32, 3.14]","(3.6, 4.73]","(2.5, 3.24]","(1.42, 3.44]","(6.72, 9.89]","(2.23, 4.4]","(92.98, 95.44]","(84.42, 88.48]","(92.34, 94.78]"
2015,NARINO,396138,73.53,73.51,39.88,71.43,56.46,29.95,1.23,0.85,0.75,1.9,1.51,96.42,99.12,97.47,94.71,95.2,2.35,0.03,1.77,3.39,3.28,1.35,0.34,1.04,2.27,0.95,"(51.119, 76.77]","(24.058999999999997, 57.46]","(29.04, 39.63]","(0.399, 2.32]","(0.589, 3.6]","(0.419, 2.5]","(1.42, 3.44]","(2.54, 6.72]","(2.23, 4.4]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2015,NORTE DE SANTANDER,310611,85.89,85.84,58.03,89.27,68.7,36.24,2.66,2.9,2.07,3.53,2.54,95.75,96.95,96.86,93.92,95.35,1.59,0.15,1.07,2.55,2.11,1.31,0.35,1.08,2.0,0.85,"(84.98, 91.19]","(57.46, 71.45]","(29.04, 39.63]","(0.399, 2.32]","(0.589, 3.6]","(2.5, 3.24]","(-0.001, 1.42]","(2.54, 6.72]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2015,QUINDIO,109400,81.93,81.86,44.92,74.18,76.01,48.03,5.9,5.92,4.74,7.63,4.67,88.09,93.93,91.46,83.06,88.94,6.01,0.15,3.79,9.31,6.39,1.38,0.17,1.11,2.04,1.1,"(51.119, 76.77]","(71.45, 76.16]","(44.75, 59.33]","(4.07, 10.73]","(6.39, 12.15]","(4.3, 14.24]","(3.44, 5.62]","(6.72, 9.89]","(5.81, 16.07]","(91.13, 92.98]","(65.649, 84.42]","(76.31899999999999, 90.37]"
2015,RISARALDA,183900,88.12,87.94,54.05,83.32,76.6,43.22,5.05,5.0,3.67,7.2,3.83,89.03,93.63,92.49,83.16,91.0,5.92,1.38,3.84,9.64,5.18,1.52,0.15,1.28,2.36,0.73,"(76.77, 84.98]","(76.16, 90.11]","(39.63, 44.75]","(3.14, 4.07]","(6.39, 12.15]","(3.24, 4.3]","(3.44, 5.62]","(6.72, 9.89]","(4.4, 5.81]","(91.13, 92.98]","(65.649, 84.42]","(90.37, 92.34]"
2015,SANTANDER,407815,94.5,94.37,59.9,94.34,82.45,47.84,3.17,4.18,2.37,4.22,2.51,91.93,95.01,94.7,87.61,92.36,4.9,0.81,2.93,8.18,5.13,1.62,0.32,1.12,2.64,1.31,"(91.19, 102.1]","(76.16, 90.11]","(44.75, 59.33]","(2.32, 3.14]","(3.6, 4.73]","(2.5, 3.24]","(1.42, 3.44]","(6.72, 9.89]","(4.4, 5.81]","(92.98, 95.44]","(84.42, 88.48]","(92.34, 94.78]"
2015,SUCRE,200001,95.8,95.74,67.38,95.0,73.13,42.25,2.65,2.96,1.98,3.54,2.59,87.04,96.07,88.13,82.19,88.57,10.31,0.97,9.89,14.27,8.84,0.61,0.85,0.69,0.55,0.23,"(91.19, 102.1]","(71.45, 76.16]","(39.63, 44.75]","(0.399, 2.32]","(0.589, 3.6]","(2.5, 3.24]","(5.62, 22.76]","(9.89, 23.19]","(5.81, 16.07]","(70.719, 91.13]","(65.649, 84.42]","(76.31899999999999, 90.37]"
2015,TOLIMA,310206,85.48,85.41,51.39,83.09,71.52,42.41,3.71,4.45,3.1,4.68,2.77,89.08,94.98,90.97,84.33,91.96,7.22,0.57,5.93,10.99,5.27,0.58,0.19,0.52,0.83,0.37,"(76.77, 84.98]","(71.45, 76.16]","(39.63, 44.75]","(2.32, 3.14]","(3.6, 4.73]","(2.5, 3.24]","(5.62, 22.76]","(9.89, 23.19]","(4.4, 5.81]","(70.719, 91.13]","(65.649, 84.42]","(90.37, 92.34]"
2015,VALLE DEL CAUCA,875476,84.44,84.26,50.96,82.63,69.59,39.64,2.78,3.07,2.24,3.63,2.31,91.04,96.24,93.14,86.67,92.71,6.18,0.69,4.62,9.7,4.99,0.92,0.25,0.72,1.44,0.6,"(76.77, 84.98]","(57.46, 71.45]","(39.63, 44.75]","(0.399, 2.32]","(3.6, 4.73]","(0.419, 2.5]","(3.44, 5.62]","(6.72, 9.89]","(4.4, 5.81]","(92.98, 95.44]","(84.42, 88.48]","(92.34, 94.78]"
2015,ARAUCA,75107,72.88,72.84,46.47,71.95,55.91,28.37,3.51,3.17,2.82,4.84,3.28,96.29,96.83,97.18,94.82,95.64,0.2,0.0,0.0,0.34,1.08,2.27,0.53,1.92,3.47,1.92,"(51.119, 76.77]","(24.058999999999997, 57.46]","(6.789, 29.04]","(2.32, 3.14]","(4.73, 6.39]","(3.24, 4.3]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2015,CASANARE,87417,102.43,102.39,70.61,102.0,83.12,46.95,3.75,4.13,3.04,5.04,2.59,88.89,95.45,91.59,82.57,92.06,7.36,0.42,5.36,12.39,5.35,1.21,0.23,1.01,1.84,0.69,"(91.19, 102.1]","(76.16, 90.11]","(44.75, 59.33]","(2.32, 3.14]","(4.73, 6.39]","(2.5, 3.24]","(3.44, 5.62]","(9.89, 23.19]","(4.4, 5.81]","(91.13, 92.98]","(65.649, 84.42]","(90.37, 92.34]"
2015,PUTUMAYO,91874,76.71,76.7,35.59,75.52,63.09,29.54,5.26,6.29,4.45,6.46,4.3,89.23,93.37,91.54,84.79,90.31,5.51,0.34,4.02,8.75,5.39,0.85,0.19,0.74,1.2,0.82,"(51.119, 76.77]","(57.46, 71.45]","(29.04, 39.63]","(4.07, 10.73]","(6.39, 12.15]","(3.24, 4.3]","(3.44, 5.62]","(6.72, 9.89]","(4.4, 5.81]","(91.13, 92.98]","(84.42, 88.48]","(76.31899999999999, 90.37]"
2015,SAN ANDRES Y PROVIDENCIA,15265,67.34,67.3,52.34,67.37,60.42,39.01,0.63,0.29,0.4,1.01,0.7,95.92,99.56,97.57,92.73,96.21,3.44,0.15,2.03,6.26,3.08,2.16,0.28,1.83,3.24,1.48,"(51.119, 76.77]","(57.46, 71.45]","(29.04, 39.63]","(0.399, 2.32]","(0.589, 3.6]","(0.419, 2.5]","(1.42, 3.44]","(2.54, 6.72]","(2.23, 4.4]","(95.44, 99.06]","(88.48, 92.86]","(94.78, 99.49]"
2015,AMAZONAS,22212,81.49,81.46,40.65,82.75,59.41,26.52,4.76,4.54,2.53,8.0,6.69,89.23,95.19,90.55,85.73,88.52,6.01,0.27,6.92,6.27,4.79,1.65,0.65,2.02,1.39,1.34,"(76.77, 84.98]","(57.46, 71.45]","(6.789, 29.04]","(2.32, 3.14]","(6.39, 12.15]","(4.3, 14.24]","(5.62, 22.76]","(2.54, 6.72]","(4.4, 5.81]","(70.719, 91.13]","(84.42, 88.48]","(76.31899999999999, 90.37]"
2015,GUAINIA,11913,75.3,75.3,53.21,72.75,35.9,8.16,7.64,6.62,6.39,10.59,7.61,75.4,82.06,76.19,70.86,76.32,16.96,11.32,17.42,18.55,16.07,2.12,2.68,2.24,1.89,0.0,"(51.119, 76.77]","(24.058999999999997, 57.46]","(6.789, 29.04]","(4.07, 10.73]","(6.39, 12.15]","(4.3, 14.24]","(5.62, 22.76]","(9.89, 23.19]","(5.81, 16.07]","(70.719, 91.13]","(65.649, 84.42]","(76.31899999999999, 90.37]"
2015,GUAVIARE,31553,54.91,54.9,27.32,54.02,40.88,19.45,4.7,4.68,3.79,6.48,3.72,87.99,92.62,89.92,83.08,90.06,7.31,2.7,6.29,10.45,6.22,1.21,0.37,0.9,2.05,0.94,"(51.119, 76.77]","(24.058999999999997, 57.46]","(6.789, 29.04]","(3.14, 4.07]","(6.39, 12.15]","(3.24, 4.3]","(5.62, 22.76]","(9.89, 23.19]","(5.81, 16.07]","(70.719, 91.13]","(65.649, 84.42]","(76.31899999999999, 90.37]"
2015,VAUPES,12684,64.08,64.08,20.27,64.42,35.56,11.59,8.08,6.79,7.73,9.66,5.86,78.38,87.43,77.15,77.41,85.74,13.54,5.79,15.12,12.93,8.4,3.49,1.11,4.08,3.37,0.16,"(51.119, 76.77]","(24.058999999999997, 57.46]","(6.789, 29.04]","(4.07, 10.73]","(6.39, 12.15]","(4.3, 14.24]","(5.62, 22.76]","(9.89, 23.19]","(5.81, 16.07]","(70.719, 91.13]","(65.649, 84.42]","(76.31899999999999, 90.37]"
2015,VICHADA,21644,76.82,76.81,39.63,79.35,34.6,14.94,9.23,10.14,8.15,12.15,7.96,76.94,88.24,75.5,74.46,84.8,13.82,1.62,16.34,13.39,7.24,0.88,0.11,0.82,1.11,1.33,"(76.77, 84.98]","(24.058999999999997, 57.46]","(6.789, 29.04]","(4.07, 10.73]","(6.39, 12.15]","(4.3, 14.24]","(5.62, 22.76]","(9.89, 23.19]","(5.81, 16.07]","(70.719, 91.13]","(65.649, 84.42]","(76.31899999999999, 90.37]"
2014,ANTIOQUIA,1266533,90.97,90.85,64.15,90.68,75.13,41.79,2.33,2.06,1.91,3.09,2.01,95.08,97.87,96.35,92.71,94.9,2.59,0.07,1.74,4.2,3.09,2.09,0.12,1.61,3.35,1.84,"(84.98, 91.19]","(71.45, 76.16]","(39.63, 44.75]","(0.399, 2.32]","(0.589, 3.6]","(0.419, 2.5]","(1.42, 3.44]","(2.54, 6.72]","(2.23, 4.4]","(95.44, 99.06]","(88.48, 92.86]","(94.78, 99.49]"
2014,ATLANTICO,521917,85.81,85.58,52.18,81.1,74.83,44.17,3.29,1.28,3.38,3.66,3.04,96.37,98.71,96.21,96.0,96.72,0.34,0.01,0.42,0.35,0.24,1.82,1.25,1.7,2.39,1.0,"(76.77, 84.98]","(71.45, 76.16]","(39.63, 44.75]","(3.14, 4.07]","(3.6, 4.73]","(2.5, 3.24]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2014,BOGOTA DC,1460379,80.79,80.38,57.76,76.77,75.23,49.97,2.5,2.7,2.01,3.01,2.48,97.36,97.3,97.93,96.75,97.35,0.14,0.0,0.06,0.25,0.17,8.69,0.58,5.47,14.06,8.14,"(51.119, 76.77]","(71.45, 76.16]","(44.75, 59.33]","(0.399, 2.32]","(0.589, 3.6]","(0.419, 2.5]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2014,BOLIVAR,490573,87.5,87.41,58.42,85.29,71.09,37.69,3.53,1.92,3.47,4.19,3.06,94.1,98.0,94.88,91.95,93.93,2.37,0.08,1.65,3.86,3.01,1.96,0.97,1.96,2.5,1.2,"(84.98, 91.19]","(57.46, 71.45]","(29.04, 39.63]","(3.14, 4.07]","(3.6, 4.73]","(2.5, 3.24]","(1.42, 3.44]","(2.54, 6.72]","(2.23, 4.4]","(92.98, 95.44]","(88.48, 92.86]","(92.34, 94.78]"
2014,BOYACA,288366,83.94,83.89,63.09,80.59,74.9,48.36,1.89,1.67,1.32,2.55,1.97,93.8,98.11,95.83,90.84,93.39,4.31,0.22,2.85,6.6,4.65,2.24,0.27,1.68,3.48,1.86,"(76.77, 84.98]","(71.45, 76.16]","(44.75, 59.33]","(0.399, 2.32]","(0.589, 3.6]","(0.419, 2.5]","(1.42, 3.44]","(2.54, 6.72]","(4.4, 5.81]","(95.44, 99.06]","(88.48, 92.86]","(92.34, 94.78]"
2014,CALDAS,195455,80.96,80.93,54.11,76.53,70.6,43.68,2.65,3.01,2.03,3.45,2.48,94.74,96.74,95.86,92.91,94.8,2.6,0.25,2.11,3.64,2.72,1.73,0.16,1.35,2.54,1.79,"(51.119, 76.77]","(57.46, 71.45]","(39.63, 44.75]","(0.399, 2.32]","(0.589, 3.6]","(0.419, 2.5]","(1.42, 3.44]","(2.54, 6.72]","(2.23, 4.4]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2014,CAQUETA,124473,79.36,79.33,46.22,79.56,57.15,23.36,4.23,4.34,3.85,4.84,4.27,95.67,95.66,96.1,95.11,94.95,0.1,0.0,0.05,0.05,0.78,1.18,0.12,0.98,1.91,0.91,"(76.77, 84.98]","(24.058999999999997, 57.46]","(6.789, 29.04]","(3.14, 4.07]","(4.73, 6.39]","(3.24, 4.3]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2014,CAUCA,316362,84.6,84.58,45.54,86.0,64.65,31.39,4.54,1.67,3.8,6.25,4.91,95.33,98.33,96.17,93.73,94.12,0.12,0.0,0.04,0.01,0.97,1.2,0.13,1.05,1.78,1.01,"(84.98, 91.19]","(57.46, 71.45]","(29.04, 39.63]","(3.14, 4.07]","(4.73, 6.39]","(4.3, 14.24]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(92.34, 94.78]"
2014,CESAR,261493,96.29,96.14,59.55,93.79,74.6,36.99,4.95,5.86,4.41,5.7,4.25,92.87,93.45,93.93,91.0,93.26,2.19,0.69,1.66,3.3,2.5,1.2,0.68,1.1,1.69,0.68,"(91.19, 102.1]","(71.45, 76.16]","(29.04, 39.63]","(4.07, 10.73]","(4.73, 6.39]","(3.24, 4.3]","(1.42, 3.44]","(2.54, 6.72]","(2.23, 4.4]","(92.98, 95.44]","(88.48, 92.86]","(92.34, 94.78]"
2014,CORDOBA,408623,93.23,93.19,54.82,90.81,74.98,36.92,2.11,1.7,1.72,2.64,2.62,97.5,98.24,98.07,96.75,96.58,0.39,0.06,0.21,0.62,0.8,2.01,0.75,2.07,2.47,1.47,"(84.98, 91.19]","(71.45, 76.16]","(29.04, 39.63]","(0.399, 2.32]","(0.589, 3.6]","(2.5, 3.24]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2014,CUNDINAMARCA,573948,89.99,89.79,58.96,85.05,81.31,48.48,2.6,2.44,1.94,3.43,2.56,96.72,97.55,97.8,95.43,96.19,0.69,0.01,0.26,1.15,1.25,1.73,0.29,1.23,2.73,1.43,"(84.98, 91.19]","(76.16, 90.11]","(44.75, 59.33]","(0.399, 2.32]","(0.589, 3.6]","(2.5, 3.24]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2014,CHOCO,145299,81.15,81.14,53.73,83.75,47.84,18.37,3.53,2.96,3.25,4.54,2.74,90.58,96.82,90.85,87.19,93.24,5.89,0.21,5.9,8.27,4.02,0.44,0.29,0.52,0.39,0.11,"(76.77, 84.98]","(24.058999999999997, 57.46]","(6.789, 29.04]","(3.14, 4.07]","(3.6, 4.73]","(2.5, 3.24]","(5.62, 22.76]","(6.72, 9.89]","(2.23, 4.4]","(70.719, 91.13]","(84.42, 88.48]","(92.34, 94.78]"
2014,HUILA,270459,88.35,88.29,59.17,88.99,75.54,39.36,3.33,2.23,2.35,4.87,3.61,96.53,97.77,97.63,94.97,95.64,0.14,0.0,0.02,0.16,0.74,1.08,0.19,0.86,1.6,1.1,"(84.98, 91.19]","(71.45, 76.16]","(29.04, 39.63]","(2.32, 3.14]","(4.73, 6.39]","(3.24, 4.3]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2014,LA GUAJIRA,251458,74.91,74.87,47.26,71.68,44.78,20.09,4.48,2.26,4.27,6.03,4.05,95.14,97.63,95.52,93.18,95.26,0.38,0.11,0.21,0.8,0.69,1.3,0.53,1.28,1.82,1.06,"(51.119, 76.77]","(24.058999999999997, 57.46]","(6.789, 29.04]","(4.07, 10.73]","(4.73, 6.39]","(3.24, 4.3]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2014,MAGDALENA,331389,90.35,90.1,59.38,83.79,67.94,33.95,2.96,1.81,2.97,3.34,2.87,96.05,97.8,96.23,95.22,96.07,0.99,0.4,0.8,1.44,1.06,0.93,0.96,0.86,1.17,0.49,"(76.77, 84.98]","(57.46, 71.45]","(29.04, 39.63]","(2.32, 3.14]","(0.589, 3.6]","(2.5, 3.24]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2014,META,215227,94.77,94.72,59.88,93.29,78.64,42.39,3.02,3.31,2.72,3.6,2.37,95.07,96.55,96.07,93.11,95.7,1.9,0.13,1.21,3.29,1.94,1.41,0.1,1.06,2.44,0.77,"(91.19, 102.1]","(76.16, 90.11]","(39.63, 44.75]","(2.32, 3.14]","(0.589, 3.6]","(0.419, 2.5]","(-0.001, 1.42]","(2.54, 6.72]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
2014,NARINO,397640,75.23,75.22,40.97,73.85,56.67,30.02,2.91,0.52,2.6,4.0,2.58,96.98,99.48,97.36,95.83,97.03,0.11,0.0,0.04,0.17,0.4,1.6,0.39,1.36,2.38,1.37,"(51.119, 76.77]","(24.058999999999997, 57.46]","(29.04, 39.63]","(2.32, 3.14]","(3.6, 4.73]","(2.5, 3.24]","(-0.001, 1.42]","(-0.001, 2.54]","(-0.001, 2.23]","(95.44, 99.06]","(92.86, 99.03]","(94.78, 99.49]"
